Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-12-05,768.5,769,744.59,747.89,6861.33048275,5168556.42923,753.287783211
2016-12-04,765.98,769.99,758.82,768.5,4202.67589499,3212608.90343,764.41985623
2016-12-03,774.87,774.87,755.98,765.46,5730.44318638,4383912.95747,765.021624835
2016-12-02,755.42,779.21,755.15,774.88,13415.189943,10328738.1909,769.928583549
2016-12-01,739,756,738.8,755.36,13400.3128641,10053395.5133,750.235879959
2016-11-30,731.06,743.14,728.98,739,5529.47175159,4080035.81983,737.870813547
2016-11-29,731.52,734.89,728.68,731.05,5649.69631816,4135663.61451,732.01520606
2016-11-28,724.99,734.99,724.99,731.52,4139.05898631,3026682.58797,731.248962139
2016-11-27,731.27,736.19,722.5,724.9,3495.31780063,2550080.44371,729.570410809
2016-11-26,739.77,740.99,720,731.19,4490.18685577,3282582.0896,731.056901425
2016-11-25,737.67,741.12,730,740.36,4062.25913716,2982146.49676,734.11035487
2016-11-24,741.99,744.32,727.61,737.61,6069.21753303,4466272.84505,735.889399374
2016-11-23,749.85,750.91,730.79,742,5581.25749339,4135180.04937,740.904725192
2016-11-22,739,753.91,733.25,749.85,9485.31653992,7058066.85272,744.104513857
2016-11-21,729.68,740.6,728.08,738.99,7200.7851153,5299126.84283,735.909592909
2016-11-20,752.17,757,711.16,729.67,13912.6238054,10201264.0301,733.237969547
2016-11-19,753.91,759.99,740,752.9,6044.662876,4541861.88467,751.383820378
2016-11-18,740.01,759.89,734.5,753.97,6962.71085661,5214217.39769,748.877485375
2016-11-17,744.98,763.85,735,740.67,14889.3087469,11140485.7665,748.220481947
2016-11-16,712,747.49,710,744.98,17948.5067143,13154342.7407,732.893435099
2016-11-15,707.44,720.05,707.4,712.17,7936.33043228,5668149.04205,714.202752824
2016-11-14,703.61,709.91,698.76,707.43,6011.54651731,4228658.41817,703.422722589
2016-11-13,703.56,706.47,687.6,703.64,8691.96006393,6050694.32567,696.125417186
2016-11-12,716.61,716.99,700.1,703.57,5914.20699191,4182685.07076,707.22669607
2016-11-11,714.87,719.37,712.03,716.22,4914.19872949,3516686.058,715.617387816
2016-11-10,723.37,725,709.13,714.87,4457.54406507,3188456.28912,715.294395876
2016-11-09,711.98,743.06,708.5,724.54,15100.0995733,11023673.2571,730.039772492
2016-11-08,705.42,717.99,703,711.99,9870.58000188,7029691.16692,712.186230756
2016-11-07,713.8,713.8,700.02,705.55,3788.61245453,2674215.36695,705.856141014
2016-11-06,709.14,721.61,700.01,713.95,7163.32896867,5101306.8212,712.14191663
2016-11-05,708.15,713.88,700.82,708.89,6022.25996563,4262926.42506,707.861575121
2016-11-04,692.66,710.9,686.42,707.62,14558.2856555,10196206.4006,700.371365276
2016-11-03,751.1,754.66,676,692.51,28203.1650261,20355484.8041,721.744697278
2016-11-02,734.6,751.47,723.59,750.85,9392.42912698,6880994.52586,732.610747745
2016-11-01,701.01,746.55,701.01,734.6,22309.5425613,16302912.2669,730.759594112
2016-10-31,702.57,709,687.6,701.02,8567.85971694,6003062.53974,700.649022984
