Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-01-30,120.93,121.63,120.66,121.63,29956034.0,0.0,1.0,120.93,121.63,120.66,121.63,29956034.0
2017-01-27,122.14,122.35,121.6,121.719,20215381.0,0.0,1.0,122.14,122.35,121.6,121.719,20215381.0
2017-01-26,121.67,122.44,121.6,121.94,26192496.0,0.0,1.0,121.67,122.44,121.6,121.94,26192496.0
2017-01-25,120.42,122.1,120.28,121.85,32070223.0,0.0,1.0,120.42,122.1,120.28,121.85,32070223.0
2017-01-24,119.55,120.1,119.5,119.9708,22789834.0,0.0,1.0,119.55,120.1,119.5,119.9708,22789834.0
2017-01-23,120.0,120.81,119.77,120.08,20946620.0,0.0,1.0,120.0,120.81,119.77,120.08,20946620.0
2017-01-20,120.45,120.45,119.7346,120.0,28866416.0,0.0,1.0,120.45,120.45,119.7346,120.0,28866416.0
2017-01-19,119.4,120.09,119.37,119.78,25160249.0,0.0,1.0,119.4,120.09,119.37,119.78,25160249.0
2017-01-18,120.0,120.5,119.71,119.99,23306832.0,0.0,1.0,120.0,120.5,119.71,119.99,23306832.0
2017-01-17,118.34,120.24,118.22,119.975,33770809.0,0.0,1.0,118.34,120.24,118.22,119.975,33770809.0
2017-01-13,119.11,119.62,118.81,119.02,25529003.0,0.0,1.0,119.11,119.62,118.81,119.02,25529003.0
2017-01-12,118.895,119.3,118.21,119.25,26832752.0,0.0,1.0,118.895,119.3,118.21,119.25,26832752.0
2017-01-11,118.74,119.93,118.6,119.75,27298488.0,0.0,1.0,118.74,119.93,118.6,119.75,27298488.0
2017-01-10,118.77,119.38,118.3,119.11,24154214.0,0.0,1.0,118.77,119.38,118.3,119.11,24154214.0
2017-01-09,117.95,119.43,117.94,118.98,33293974.0,0.0,1.0,117.95,119.43,117.94,118.98,33293974.0
2017-01-06,116.78,118.16,116.47,117.91,31077492.0,0.0,1.0,116.78,118.16,116.47,117.91,31077492.0
2017-01-05,115.92,116.8642,115.81,116.63,21930515.0,0.0,1.0,115.92,116.8642,115.81,116.63,21930515.0
