Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-01-30,814.66,815.84,799.8,802.32,3190637.0,0.0,1.0,814.66,815.84,799.8,802.32,3190637.0
2017-01-27,834.71,841.95,820.44,823.31,2942979.0,0.0,1.0,834.71,841.95,820.44,823.31,2942979.0
2017-01-26,837.81,838.0,827.01,832.15,2447787.0,0.0,1.0,837.81,838.0,827.01,832.15,2447787.0
2017-01-25,829.62,835.77,825.06,835.67,1476868.0,0.0,1.0,829.62,835.77,825.06,835.67,1476868.0
2017-01-24,822.3,825.9,817.821,823.87,1440464.0,0.0,1.0,822.3,825.9,817.821,823.87,1440464.0
2017-01-23,807.25,820.87,803.74,819.31,1890744.0,0.0,1.0,807.25,820.87,803.74,819.31,1890744.0
2017-01-20,806.91,806.91,801.69,805.02,1629826.0,0.0,1.0,806.91,806.91,801.69,805.02,1629826.0
2017-01-19,805.12,809.48,801.8,802.175,904456.0,0.0,1.0,805.12,809.48,801.8,802.175,904456.0
2017-01-18,805.81,806.205,800.99,806.07,1252387.0,0.0,1.0,805.81,806.205,800.99,806.07,1252387.0
2017-01-17,807.08,807.14,800.37,804.61,1245616.0,0.0,1.0,807.08,807.14,800.37,804.61,1245616.0
2017-01-13,807.48,811.2244,806.69,807.88,1075182.0,0.0,1.0,807.48,811.2244,806.69,807.88,1075182.0
2017-01-12,807.14,807.39,799.17,806.36,1349781.0,0.0,1.0,807.14,807.39,799.17,806.36,1349781.0
2017-01-11,805.0,808.15,801.37,807.91,1053208.0,0.0,1.0,805.0,808.15,801.37,807.91,1053208.0
2017-01-10,807.86,809.1299,803.51,804.79,1157369.0,0.0,1.0,807.86,809.1299,803.51,804.79,1157369.0
2017-01-09,806.4,809.9664,802.83,806.65,1269946.0,0.0,1.0,806.4,809.9664,802.83,806.65,1269946.0
2017-01-06,795.26,807.9,792.2041,806.15,1602366.0,0.0,1.0,795.26,807.9,792.2041,806.15,1602366.0
2017-01-05,786.08,794.48,785.02,794.02,1297561.0,0.0,1.0,786.08,794.48,785.02,794.02,1297561.0
2017-01-04,788.36,791.34,783.16,786.9,1060648.0,0.0,1.0,788.36,791.34,783.16,786.9,1060648.0
2017-01-03,778.81,789.63,775.8,786.13,1623891.0,0.0,1.0,778.81,789.63,775.8,786.13,1623891.0
2016-12-30,782.75,782.78,770.41,771.82,1745808.0,0.0,1.0,782.75,782.78,770.41,771.82,1745808.0
2016-12-29,783.33,785.93,778.92,782.79,740889.0,0.0,1.0,783.33,785.93,778.92,782.79,740889.0
2016-12-28,793.7,794.23,783.2,785.05,1128322.0,0.0,1.0,793.7,794.23,783.2,785.05,1128322.0
2016-12-27,790.68,797.86,787.657,791.55,785949.0,0.0,1.0,790.68,797.86,787.657,791.55,785949.0
2016-12-23,790.9,792.74,787.28,789.91,619774.0,0.0,1.0,790.9,792.74,787.28,789.91,619774.0
2016-12-22,792.36,793.32,788.58,791.26,929137.0,0.0,1.0,792.36,793.32,788.58,791.26,929137.0
2016-12-21,795.84,796.6757,787.1,794.56,1203309.0,0.0,1.0,795.84,796.6757,787.1,794.56,1203309.0
2016-12-20,796.76,798.65,793.27,796.42,919650.0,0.0,1.0,796.76,798.65,793.27,796.42,919650.0
2016-12-19,790.22,797.66,786.27,794.2,1209619.0,0.0,1.0,790.22,797.66,786.27,794.2,1209619.0
2016-12-16,800.4,800.8558,790.29,790.8,2337154.0,0.0,1.0,800.4,800.8558,790.29,790.8,2337154.0
2016-12-15,797.34,803.0,792.92,797.85,1607120.0,0.0,1.0,797.34,803.0,792.92,797.85,1607120.0
2016-12-14,797.4,804.0,794.01,797.07,1652691.0,0.0,1.0,797.4,804.0,794.01,797.07,1652691.0
2016-12-13,793.9,804.3799,793.34,796.1,2085270.0,0.0,1.0,793.9,804.3799,793.34,796.1,2085270.0
2016-12-12,785.04,791.25,784.3554,789.27,2093977.0,0.0,1.0,785.04,791.25,784.3554,789.27,2093977.0
2016-12-09,780.0,789.43,779.021,789.29,1776827.0,0.0,1.0,780.0,789.43,779.021,789.29,1776827.0
2016-12-08,772.48,778.18,767.23,776.42,1445445.0,0.0,1.0,772.48,778.18,767.23,776.42,1445445.0
2016-12-07,761.0,771.36,755.8,771.19,1734177.0,0.0,1.0,761.0,771.36,755.8,771.19,1734177.0
2016-12-06,764.73,768.83,757.34,759.11,1625210.0,0.0,1.0,764.73,768.83,757.34,759.11,1625210.0
2016-12-05,757.71,763.9,752.9,762.52,1381864.0,0.0,1.0,757.71,763.9,752.9,762.52,1381864.0
2016-12-02,744.59,754.0,743.1,750.5,1444185.0,0.0,1.0,744.59,754.0,743.1,750.5,1444185.0
2016-12-01,757.44,759.85,737.0245,747.92,2990682.0,0.0,1.0,757.44,759.85,737.0245,747.92,2990682.0
2016-11-30,770.07,772.99,754.83,758.04,2350596.0,0.0,1.0,770.07,772.99,754.83,758.04,2350596.0
2016-11-29,771.53,778.5,768.24,770.84,1581782.0,0.0,1.0,771.53,778.5,768.24,770.84,1581782.0
2016-11-28,760.0,779.53,759.8,768.24,2165938.0,0.0,1.0,760.0,779.53,759.8,768.24,2165938.0
2016-11-25,764.26,765.0,760.52,761.68,586819.0,0.0,1.0,764.26,765.0,760.52,761.68,586819.0
2016-11-23,767.73,768.2825,755.25,760.99,1478417.0,0.0,1.0,767.73,768.2825,755.25,760.99,1478417.0
2016-11-22,772.63,776.96,767.0,768.27,1593108.0,0.0,1.0,772.63,776.96,767.0,768.27,1593108.0
2016-11-21,762.61,769.7,760.6,769.2,1330639.0,0.0,1.0,762.61,769.7,760.6,769.2,1330639.0
2016-11-18,771.37,775.0,760.0,760.54,1547145.0,0.0,1.0,771.37,775.0,760.0,760.54,1547145.0
2016-11-17,766.92,772.7,764.23,771.23,1304048.0,0.0,1.0,766.92,772.7,764.23,771.23,1304048.0
2016-11-16,755.2,766.36,750.51,764.48,1472594.0,0.0,1.0,755.2,766.36,750.51,764.48,1472594.0
2016-11-15,746.97,764.4162,746.97,758.49,2384001.0,0.0,1.0,746.97,764.4162,746.97,758.49,2384001.0
2016-11-14,755.6,757.85,727.54,736.08,3654385.0,0.0,1.0,755.6,757.85,727.54,736.08,3654385.0
2016-11-11,756.54,760.78,750.38,754.02,2431815.0,0.0,1.0,756.54,760.78,750.38,754.02,2431815.0
2016-11-10,791.17,791.17,752.18,762.56,4745183.0,0.0,1.0,791.17,791.17,752.18,762.56,4745183.0
2016-11-09,779.94,791.2265,771.67,785.31,2607121.0,0.0,1.0,779.94,791.2265,771.67,785.31,2607121.0
2016-11-08,783.4,795.633,780.19,790.51,1366873.0,0.0,1.0,783.4,795.633,780.19,790.51,1366873.0
2016-11-07,774.5,785.19,772.55,782.52,1492874.0,0.0,1.0,774.5,785.19,772.55,782.52,1492874.0
2016-11-04,750.66,770.36,750.5611,762.02,2134812.0,0.0,1.0,750.66,770.36,750.5611,762.02,2134812.0
2016-11-03,767.25,769.95,759.03,762.13,1943175.0,0.0,1.0,767.25,769.95,759.03,762.13,1943175.0
2016-11-02,778.2,781.65,763.4496,768.7,1918414.0,0.0,1.0,778.2,781.65,763.4496,768.7,1918414.0
2016-11-01,782.89,789.49,775.54,783.61,2406356.0,0.0,1.0,782.89,789.49,775.54,783.61,2406356.0
2016-10-31,795.47,796.86,784.0,784.54,2427284.0,0.0,1.0,795.47,796.86,784.0,784.54,2427284.0
2016-10-28,808.35,815.49,793.59,795.37,4269902.0,0.0,1.0,808.35,815.49,793.59,795.37,4269902.0
2016-10-27,801.0,803.49,791.5,795.35,2749221.0,0.0,1.0,801.0,803.49,791.5,795.35,2749221.0
2016-10-26,806.34,806.98,796.32,799.07,1647733.0,0.0,1.0,806.34,806.98,796.32,799.07,1647733.0
2016-10-25,816.68,816.68,805.14,807.67,1576404.0,0.0,1.0,816.68,816.68,805.14,807.67,1576404.0
2016-10-24,804.9,815.18,804.82,813.11,1697514.0,0.0,1.0,804.9,815.18,804.82,813.11,1697514.0
2016-10-21,795.0,799.5,794.0,799.37,1266181.0,0.0,1.0,795.0,799.5,794.0,799.37,1266181.0
2016-10-20,803.3,803.97,796.03,796.97,1757528.0,0.0,1.0,803.3,803.97,796.03,796.97,1757528.0
2016-10-19,798.86,804.63,797.635,801.56,1766798.0,0.0,1.0,798.86,804.63,797.635,801.56,1766798.0
